Fecha,Valor
31/01/2023,"6,00"
28/02/2023,"6,60"
31/03/2023,"7,70"
30/04/2023,"8,40"
31/05/2023,"7,80"
30/06/2023,"6,00"
31/07/2023,"6,30"
31/08/2023,"12,40"
30/09/2023,"12,70"
31/10/2023,"8,30"
30/11/2023,"12,80"
31/12/2023,"25,50"
31/01/2024,"20,60"
29/02/2024,"13,20"
31/03/2024,"11,00"
30/04/2024,"8,80"
31/05/2024,"4,20"
30/06/2024,"4,60"
31/07/2024,"4,00"
31/08/2024,"4,20"
30/09/2024,"3,50"
31/10/2024,"2,70"
30/11/2024,"2,40"
31/12/2024,"2,70"
31/01/2025,"2,20"
28/02/2025,"2,40"
31/03/2025,"3,70"
30/04/2025,"2,80"
31/05/2025,"1,50"
30/06/2025,"1,60"
31/07/2025,"1,90"
