Fecha,Valor ARS
03/01/2022,"108,29"
04/01/2022,"108,48"
05/01/2022,"108,61"
06/01/2022,"108,63"
07/01/2022,"108,72"
10/01/2022,"108,86"
11/01/2022,"108,96"
12/01/2022,"108,97"
13/01/2022,"109,05"
14/01/2022,"109,11"
17/01/2022,"109,21"
18/01/2022,"109,46"
19/01/2022,"109,64"
20/01/2022,"109,67"
21/01/2022,"109,71"
24/01/2022,"109,79"
25/01/2022,"110,08"
26/01/2022,"110,11"
27/01/2022,"110,15"
28/01/2022,"110,50"
31/01/2022,"110,68"
01/02/2022,"110,71"
02/02/2022,"110,75"
03/02/2022,"110,92"
04/02/2022,"110,92"
07/02/2022,"111,37"
08/02/2022,"111,46"
09/02/2022,"111,49"
10/02/2022,"111,52"
11/02/2022,"111,59"
14/02/2022,"111,67"
15/02/2022,"112,01"
16/02/2022,"112,17"
17/02/2022,"112,21"
18/02/2022,"112,24"
21/02/2022,"112,48"
22/02/2022,"112,71"
23/02/2022,"112,80"
24/02/2022,"112,83"
25/02/2022,"112,89"
02/03/2022,"113,33"
03/03/2022,"113,48"
04/03/2022,"113,69"
07/03/2022,"113,94"
08/03/2022,"114,06"
09/03/2022,"114,37"
10/03/2022,"114,50"
11/03/2022,"114,49"
14/03/2022,"114,72"
15/03/2022,"114,82"
16/03/2022,"114,88"
17/03/2022,"114,91"
18/03/2022,"114,93"
21/03/2022,"115,35"
22/03/2022,"115,42"
23/03/2022,"115,61"
25/03/2022,"115,68"
28/03/2022,"116,19"
29/03/2022,"116,21"
30/03/2022,"116,31"
31/03/2022,"116,45"
01/04/2022,"116,64"
04/04/2022,"117,02"
05/04/2022,"117,10"
06/04/2022,"117,33"
07/04/2022,"117,65"
08/04/2022,"117,69"
11/04/2022,"118,02"
12/04/2022,"118,09"
13/04/2022,"118,39"
18/04/2022,"118,88"
19/04/2022,"119,03"
20/04/2022,"119,16"
21/04/2022,"119,58"
22/04/2022,"119,69"
25/04/2022,"119,78"
26/04/2022,"120,10"
27/04/2022,"120,13"
28/04/2022,"120,29"
29/04/2022,"120,64"
02/05/2022,"120,97"
03/05/2022,"121,33"
04/05/2022,"121,45"
05/05/2022,"121,73"
06/05/2022,"121,97"
09/05/2022,"122,16"
10/05/2022,"122,32"
11/05/2022,"122,50"
12/05/2022,"122,70"
13/05/2022,"123,11"
16/05/2022,"123,27"
17/05/2022,"123,55"
19/05/2022,"123,77"
20/05/2022,"123,91"
23/05/2022,"124,33"
24/05/2022,"124,45"
26/05/2022,"124,62"
27/05/2022,"124,81"
30/05/2022,"125,48"
31/05/2022,"125,62"
01/06/2022,"125,88"
02/06/2022,"125,95"
03/06/2022,"125,57"
06/06/2022,"126,60"
07/06/2022,"126,65"
08/06/2022,"126,77"
09/06/2022,"127,00"
10/06/2022,"127,09"
13/06/2022,"127,60"
14/06/2022,"127,62"
15/06/2022,"128,03"
16/06/2022,"128,19"
21/06/2022,"128,99"
22/06/2022,"129,01"
23/06/2022,"129,11"
24/06/2022,"129,15"
27/06/2022,"130,07"
28/06/2022,"130,14"
29/06/2022,"129,99"
30/06/2022,"130,44"
01/07/2022,"130,69"
04/07/2022,"132,07"
05/07/2022,"132,54"
06/07/2022,"132,85"
07/07/2022,"133,27"
08/07/2022,"133,89"
11/07/2022,"134,67"
12/07/2022,"134,88"
13/07/2022,"135,15"
14/07/2022,"135,21"
15/07/2022,"135,29"
18/07/2022,"135,79"
19/07/2022,"136,08"
20/07/2022,"136,10"
21/07/2022,"136,32"
22/07/2022,"136,61"
25/07/2022,"137,30"
26/07/2022,"137,38"
27/07/2022,"137,58"
28/07/2022,"137,86"
29/07/2022,"137,93"
01/08/2022,"138,90"
02/08/2022,"139,07"
03/08/2022,"139,31"
04/08/2022,"139,86"
05/08/2022,"139,87"
08/08/2022,"140,59"
09/08/2022,"140,77"
10/08/2022,"140,70"
11/08/2022,"140,98"
12/08/2022,"141,50"
16/08/2022,"142,41"
17/08/2022,"142,52"
18/08/2022,"142,39"
19/08/2022,"143,06"
22/08/2022,"144,04"
23/08/2022,"144,03"
24/08/2022,"144,29"
25/08/2022,"144,58"
26/08/2022,"144,73"
29/08/2022,"145,45"
30/08/2022,"145,62"
31/08/2022,"145,77"
01/09/2022,"145,86"
05/09/2022,"147,05"
06/09/2022,"147,35"
07/09/2022,"147,66"
08/09/2022,"148,15"
09/09/2022,"148,42"
12/09/2022,"149,43"
13/09/2022,"149,52"
14/09/2022,"149,61"
15/09/2022,"149,99"
16/09/2022,"150,17"
19/09/2022,"150,93"
20/09/2022,"151,24"
21/09/2022,"151,56"
22/09/2022,"151,64"
23/09/2022,"152,24"
26/09/2022,"153,01"
27/09/2022,"153,31"
28/09/2022,"153,61"
29/09/2022,"153,90"
30/09/2022,"154,25"
03/10/2022,"155,33"
04/10/2022,"155,67"
05/10/2022,"155,90"
06/10/2022,"156,29"
11/10/2022,"157,76"
12/10/2022,"157,96"
13/10/2022,"158,19"
14/10/2022,"158,28"
17/10/2022,"159,45"
18/10/2022,"159,71"
19/10/2022,"159,94"
20/10/2022,"160,27"
21/10/2022,"160,57"
24/10/2022,"161,56"
25/10/2022,"162,10"
26/10/2022,"162,22"
27/10/2022,"162,30"
28/10/2022,"162,59"
31/10/2022,"163,89"
01/11/2022,"164,26"
02/11/2022,"164,49"
03/11/2022,"164,82"
04/11/2022,"165,15"
07/11/2022,"166,33"
08/11/2022,"166,79"
09/11/2022,"167,17"
10/11/2022,"167,50"
11/11/2022,"167,77"
14/11/2022,"168,62"
15/11/2022,"169,18"
16/11/2022,"169,60"
17/11/2022,"169,89"
18/11/2022,"170,22"
22/11/2022,"171,52"
23/11/2022,"171,85"
24/11/2022,"172,24"
25/11/2022,"172,45"
28/11/2022,"173,66"
29/11/2022,"174,15"
30/11/2022,"174,55"
01/12/2022,"174,86"
02/12/2022,"175,42"
05/12/2022,"176,44"
06/12/2022,"176,59"
07/12/2022,"176,81"
12/12/2022,"178,57"
13/12/2022,"179,01"
14/12/2022,"179,22"
15/12/2022,"179,35"
16/12/2022,"179,69"
19/12/2022,"180,65"
20/12/2022,"180,76"
21/12/2022,"181,16"
22/12/2022,"181,36"
23/12/2022,"181,74"
26/12/2022,"182,82"
27/12/2022,"183,12"
28/12/2022,"183,51"
29/12/2022,"183,95"
30/12/2022,"184,64"
02/01/2023,"185,36"
03/01/2023,"185,99"
04/01/2023,"186,22"
05/01/2023,"186,16"
06/01/2023,"186,61"
09/01/2023,"187,72"
10/01/2023,"188,11"
11/01/2023,"188,21"
12/01/2023,"188,18"
13/01/2023,"188,53"
16/01/2023,"189,47"
17/01/2023,"189,74"
18/01/2023,"189,98"
19/01/2023,"190,19"
20/01/2023,"190,65"
23/01/2023,"191,68"
24/01/2023,"192,08"
25/01/2023,"192,26"
