Fecha,Valor
31/01/2023,"98,80"
28/02/2023,"102,50"
31/03/2023,"104,30"
30/04/2023,"108,80"
31/05/2023,"114,20"
30/06/2023,"115,60"
31/07/2023,"113,40"
31/08/2023,"124,40"
30/09/2023,"138,30"
31/10/2023,"142,70"
30/11/2023,"160,90"
31/12/2023,"211,40"
31/01/2024,"254,20"
29/02/2024,"276,20"
31/03/2024,"287,90"
30/04/2024,"289,40"
31/05/2024,"276,40"
30/06/2024,"271,50"
31/07/2024,"263,40"
31/08/2024,"236,70"
30/09/2024,"209,00"
31/10/2024,"193,00"
30/11/2024,"166,00"
31/12/2024,"117,80"
31/01/2025,"84,50"
28/02/2025,"66,90"
31/03/2025,"55,90"
30/04/2025,"47,30"
31/05/2025,"43,50"
30/06/2025,"39,40"
31/07/2025,"36,60"
